TITLE	ISSN	EISSN	DOCUMENTATION
The Annals of Applied Probability	1050-5164	2168-8737	https://imstat.org/journals-and-publications/annals-of-applied-probability/
The Annals of Probability	 0091-1798	2168-894X	https://imstat.org/journals-and-publications/annals-of-probability/
The Annals of Statistics	 0090-5364	2168-8966	https://imstat.org/journals-and-publications/annals-of-statistics/
Electronic Journal of Statistics	x	1935-7524	https://imstat.org/journals-and-publications/electronic-journal-of-statistics/
Statistical Science	0883-4237	2168-8745	https://imstat.org/journals-and-publications/statistical-science/
