canadian-journal-of-behavioural-science-revue-canadienne-des-sciences-du-comportement	canadian-journal-of-behavioural-science
canadian-journal-of-experimental-psychology-revue-canadienne-de-psychologie-experimentale	canadian-journal-of-experimental-psychology
canadian-psychology-psychologie-canadienne	canadian-psychology
journal-of-latinx-psychology	journal-of-latina-o-psychology
psychology-of-men-and-masculinities	psychology-of-men-and-masculinity
school-psychology	school-psychology-quarterly
traumatology	traumatology-an-international-journal
